,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,TOR,TOR vs. DEN,08/14/2020,W,48,117.0,109.0,8.0,60.0,1.42,18.8,34.0,75.5,55.3,19.0,60.0,60.8,100.0,50.7
1,HOU,HOU vs. PHI,08/14/2020,L,48,93.2,128.8,-35.6,71.4,1.47,19.2,4.3,70.0,34.9,16.5,51.3,55.1,103.5,35.6
2,DEN,DEN @ TOR,08/14/2020,L,48,109.0,117.0,-8.0,75.0,1.69,19.3,24.5,66.0,44.7,16.0,50.6,56.1,100.0,49.3
3,PHI,PHI @ HOU,08/14/2020,W,48,128.8,93.2,35.6,63.3,1.94,21.1,30.0,95.7,65.1,15.4,66.7,69.3,103.5,64.4
4,MIA,MIA @ IND,08/14/2020,L,48,91.1,107.9,-16.8,45.2,0.74,10.6,29.5,71.4,48.2,18.8,41.4,46.5,101.0,36.3
5,IND,IND vs. MIA,08/14/2020,W,48,107.9,91.1,16.8,74.4,1.6,21.8,28.6,70.5,51.8,19.8,56.7,58.1,101.0,63.7
6,OKC,OKC @ LAC,08/14/2020,L,53,89.6,94.7,-5.1,47.4,1.13,11.8,28.2,74.1,48.8,13.9,42.5,44.5,103.25,36.0
7,LAC,LAC vs. OKC,08/14/2020,W,53,94.7,89.6,5.1,67.6,1.0,15.2,25.9,71.8,51.2,20.4,47.1,52.4,103.25,64.0
8,LAL,LAL vs. SAC,08/13/2020,L,48,115.1,128.3,-13.2,60.4,1.71,19.3,32.7,75.0,52.1,16.0,56.6,58.3,106.0,41.9
9,BOS,BOS vs. WAS,08/13/2020,L,48,90.9,97.0,-6.1,62.9,1.16,16.2,27.3,66.1,47.4,19.2,44.3,47.8,99.0,47.8
10,PHX,PHX vs. DAL,08/13/2020,W,48,132.0,106.3,25.7,69.4,5.67,24.1,23.3,75.0,51.6,6.2,62.9,65.1,96.5,64.8
11,SAS,SAS @ UTA,08/13/2020,L,48,112.0,116.8,-4.8,61.5,1.6,17.8,23.4,70.4,48.5,15.0,55.7,59.0,100.5,48.5
12,WAS,WAS @ BOS,08/13/2020,W,48,97.0,90.9,6.1,64.7,1.22,15.6,33.9,72.7,52.6,18.2,44.3,48.7,99.0,52.2
13,MEM,MEM vs. MIL,08/13/2020,W,48,108.2,96.4,11.8,80.0,2.0,22.9,22.4,79.4,54.5,16.4,57.2,59.4,110.0,60.9
14,NOP,NOP @ ORL,08/13/2020,L,48,125.7,130.4,-4.6,45.8,1.69,16.3,30.0,75.6,53.1,12.9,60.9,64.2,101.5,49.0
15,UTA,UTA vs. SAS,08/13/2020,W,48,116.8,112.0,4.8,53.2,2.78,17.7,29.6,76.6,51.5,8.9,54.0,56.0,100.5,51.5
16,ORL,ORL vs. NOP,08/13/2020,W,48,130.4,125.7,4.6,52.1,2.08,18.4,24.4,70.0,46.9,11.8,66.1,68.4,101.5,51.0
17,POR,POR @ BKN,08/13/2020,W,48,128.8,127.9,1.0,50.0,2.78,16.8,37.5,66.0,50.5,8.7,54.3,58.5,104.0,49.3
18,BKN,BKN vs. POR,08/13/2020,L,48,127.9,128.8,-1.0,52.8,2.0,18.9,34.0,62.5,49.5,13.5,62.5,63.7,104.0,50.7
19,DAL,DAL @ PHX,08/13/2020,L,48,106.3,132.0,-25.7,43.6,1.55,13.5,25.0,76.7,48.4,11.5,48.3,52.4,96.5,35.2
20,SAC,SAC @ LAL,08/13/2020,W,48,128.3,115.1,13.2,68.5,2.47,24.2,25.0,67.3,47.9,14.2,67.9,67.8,106.0,58.1
21,MIL,MIL @ MEM,08/13/2020,L,48,96.4,108.2,-11.8,69.2,1.8,18.0,20.6,77.6,45.5,13.6,46.4,49.0,110.0,39.1
22,LAC,LAC @ DEN,08/12/2020,W,48,127.8,114.4,13.4,63.0,3.63,21.8,17.5,76.6,49.4,8.2,62.4,65.2,97.0,54.2
23,OKC,OKC vs. MIA,08/12/2020,W,48,116.0,113.9,2.1,51.3,1.25,14.5,34.0,82.6,56.6,16.0,52.8,57.5,100.5,47.3
24,HOU,HOU vs. IND,08/12/2020,L,48,95.4,99.1,-3.7,62.5,1.0,14.5,20.0,70.5,46.6,18.3,46.5,52.9,109.0,46.8
25,IND,IND @ HOU,08/12/2020,W,48,99.1,95.4,3.7,62.5,1.67,16.4,29.5,80.0,53.4,13.8,45.5,49.2,109.0,53.2
26,MIA,MIA @ OKC,08/12/2020,L,48,113.9,116.0,-2.1,57.1,2.0,18.2,17.4,66.0,43.4,11.9,57.0,60.7,100.5,52.7
27,PHI,PHI vs. TOR,08/12/2020,L,48,115.2,119.0,-3.8,69.2,1.59,19.1,20.8,72.7,48.5,16.2,56.5,61.4,105.0,49.7
28,TOR,TOR @ PHI,08/12/2020,W,48,119.0,115.2,3.8,70.0,2.33,18.9,27.3,79.2,51.5,11.4,54.4,58.1,105.0,50.3
29,DEN,DEN vs. LAC,08/12/2020,L,48,114.4,127.8,-13.4,76.7,2.75,23.6,23.4,82.5,50.6,12.4,56.9,58.2,97.0,45.8
30,HOU,HOU @ SAS,08/11/2020,L,48,92.1,107.9,-15.8,50.0,1.0,13.1,9.1,75.5,40.4,15.8,48.3,53.4,114.0,39.1
31,ORL,ORL vs. BKN,08/11/2020,L,48,95.0,106.9,-11.9,40.6,0.76,10.2,26.4,75.5,50.9,16.8,42.8,50.1,101.0,40.7
32,PHX,PHX @ PHI,08/11/2020,W,48,139.8,128.6,11.2,57.1,4.0,20.7,36.6,66.7,53.3,7.5,61.8,66.2,92.0,57.5
33,DAL,DAL vs. POR,08/11/2020,L,48,124.8,125.2,-0.5,66.7,1.65,20.0,16.3,71.2,46.3,16.2,64.2,68.6,106.0,50.8
34,NOP,NOP @ SAC,08/11/2020,L,48,103.9,109.8,-5.9,59.5,1.32,18.4,21.4,65.2,44.3,18.6,55.5,58.7,102.0,49.3
35,PHI,PHI vs. PHX,08/11/2020,L,48,128.6,139.8,-11.2,60.9,3.11,20.6,33.3,63.4,46.7,9.9,57.5,59.0,92.0,42.5
36,BOS,BOS @ MEM,08/11/2020,W,48,127.1,110.3,16.8,65.9,1.93,20.9,30.4,70.7,52.9,15.6,60.5,63.5,96.5,54.4
37,POR,POR @ DAL,08/11/2020,W,48,125.2,124.8,0.5,39.1,2.25,13.0,28.8,83.7,53.7,7.5,54.6,60.5,106.0,49.2
38,WAS,WAS vs. MIL,08/11/2020,L,48,105.6,116.7,-11.1,56.4,2.0,15.4,23.7,75.0,46.7,10.3,47.4,52.2,107.5,41.3
